Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
Q12765	Q12765	SCRN1_HUMAN	SCRN1	Secernin-1			532.316			353.581			1155.08	251.686					587.687	542.469	298.29		675.804	574.113
Q12769	Q12769	NU160_HUMAN	NUP160	Nuclear pore complex protein Nup160	752.355		174.897	199.732		64.6016			197.106					204.641			335.578	110.084		648.277
Q12792	Q12792	TWF1_HUMAN	TWF1	Twinfilin-1			1080.48	600.381		695.081			746.988			830.119	460.964		420.7	699.791	535.921	96.0988	977.204	568.613
Q12797	Q12797	ASPH_HUMAN	ASPH	Aspartyl/asparaginyl beta-hydroxylase	797.002		591.434	933.786		532.217		1373.85	710.8	1077.5		750.489	1149.73	888.045	898.508	790.718	580.899	753.559	601.707	588.028
Q12849	Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1								554.338						994.641	1229.5		688.335			623.965
Q12874	Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3	224.473		279.299	285.727		274.166		917.246	200.984	637.335		161.781		245.605	500.443		512.951	49.4144	312.383	380.42
Q12884	Q12884	SEPR_HUMAN	FAP	Prolyl endopeptidase FAP			118.925	260.809														191.501		
Q12888	Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1			1188.06	441.523		413.526	4502.81	1012.19		660.003		733.36	1514.22	812.398	83.7425		1482.37	755.553	312.309	651.488
Q12904	Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1			415.511	268.482		172.266		361.487	115.234				711.631	38.394	125.358		344.214			
Q12905	Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	647.584		785.185	275.665		782.788	2391.28	1299.18	893.969	1427.82		232.548		1023.65	835.823		765.947	708.275	507.648	1154.72
Q12906	Q12906;Q96SI9	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3	4710.91		3907.51	3142.42		3589.48	4052.38	5711.34	3532.28	4057.11		3109.04	4734.06	5729.2	2929.99		5421.78	2483.72	2712.35	4267.75
Q12907	Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	341.856		354.686	465.097		776.265	1159.51			227.321		461.057		359.584	303.123	1030.52	487.282	480.82	222.173	
Q12931	Q12931	TRAP1_HUMAN	TRAP1	Heat shock protein 75 kDa, mitochondrial	9156.43	2880.19	7752.47	6837.97	2385.28	9640.78	8584.71	6576.85	7714.88	3651.49		8258.38	9570.44	4493.34	10301.8	8844.25	9966.66	4746.34	6585.12	10574.3
Q12965	Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie						318.864											125.85		273.603	
Q12979	P11274;Q12979	ABR_HUMAN	ABR	Active breakpoint cluster region-related protein				377.768													261.687			
Q13011	Q13011	ECH1_HUMAN	ECH1	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial			405.028	403.547								352.729	144.608	681.711			408.003	683.469	277.043	
Q13033	Q13033	STRN3_HUMAN	STRN3	Striatin-3			237.11																	
Q13045	Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog			502.471	457.406		427.777			438.525						557.652		451.992		478.687	823.143
Q13084	Q13084	RM28_HUMAN	MRPL28	39S ribosomal protein L28, mitochondrial																	345.809	178.832		327.517
Q13085	Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1			476.783	2176.82		415.811			273.215				1370.75			562.958	174.39		667.397	
Q13098	Q13098	CSN1_HUMAN	GPS1	COP9 signalosome complex subunit 1			421.265	255.345		558.341			142.752			277.24		210.102	526.385					487.595
Q13123	Q13123	RED_HUMAN	IK	Protein Red	505.331		188.046	421.97		92.4015			165.996	210.851		560.547		346.791	319.754		317.389	386.316	262.769	324.6
Q13126	Q13126	MTAP_HUMAN	MTAP	S-methyl-5'-thioadenosine phosphorylase			220.556	413.472													454.073			
Q13131	Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1			55.3586						249.001					343.759	185.173		219.28		336.443	
Q13144	Q13144	EI2BE_HUMAN	EIF2B5	Translation initiation factor eIF-2B subunit epsilon			253.581	223.49		256.89			142.902			535.212					338.379			97.2676
Q13148	Q13148	TADBP_HUMAN	TARDBP	TAR DNA-binding protein 43	216.565		326.971	510.191		432.115			315.957	327.191		837.507	424.132	537.083	627.266		407.855		174.871	824.412
Q13151	Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	407.177		539.319	506.361		593.886	656.521	811.465	642.612	963.727		622.448	915.894	650.177	898.145		1125.47	712.353	754.377	544.192
Q13162	Q13162	PRDX4_HUMAN	PRDX4	Peroxiredoxin-4				2186.07						375.439					446.342					
Q13177	Q13177	PAK2_HUMAN	PAK2	Serine/threonine-protein kinase PAK 2			696.933	856.268		753.823			533.409			485.897			280.065	756.728	609.617	330.158	702.719	716.636
Q13185	Q13185	CBX3_HUMAN	CBX3	Chromobox protein homolog 3	238.591		228.226	578.945				384.843	464.216			828.235	432.151	174.896	866.563		383.884		404.182	926.063
Q13190	Q13190	STX5_HUMAN	STX5	Syntaxin-5	253.874							596.121		416.563			605.066	645.815	386.867		243.976	219.936		169.71
Q13200	Q13200	PSMD2_HUMAN	PSMD2	26S proteasome non-ATPase regulatory subunit 2	374.905		584.183	1042.97		521.638	612.075	94.9232	564.531			551.39			759.582	528.966	500.013	354.798	428.976	547.151
Q13217	Q13217	DNJC3_HUMAN	DNAJC3	DnaJ homolog subfamily C member 3												322.775						610.693		
Q13228	Q13228	SBP1_HUMAN	SELENBP1	Methanethiol oxidase				1388.64								339.038								
Q13242	Q13242	SRSF9_HUMAN	SRSF9	Serine/arginine-rich splicing factor 9	1190.9		567.136	1235.07		1108.21	941.416	1032.48	1168.21	1118.32		720.333	543.758	993.162	1139.14		1150.19	351.304	557.862	1138.57
Q13243	Q13243	SRSF5_HUMAN	SRSF5	Serine/arginine-rich splicing factor 5	348.181		253.551	527.542		406.312		537.16	96.6168			303.411	503.376	528.289	353.48		288.558		437.348	464.914
Q13247	Q08170;Q13247	SRSF6_HUMAN	SRSF6	Serine/arginine-rich splicing factor 6	2288.81		3024.17	3200.44		3385.85	961.823	3998.37	3411.23	2487.18		2477.37	2243.79	3399.83	3252.93		2079.31	977.218	2800.92	3874.57
Q13263	Q13263	TIF1B_HUMAN	TRIM28	Transcription intermediary factor 1-beta	1202.64		1622.86	1006.17		1402.26	1109.93	958.816	1051.68	1050.26		1461.97	1638.06	2530.7	1867.92		1619.21	441.208	1636.09	2766.76
Q13283	Q9UN86;Q13283	G3BP1_HUMAN	G3BP1	Ras GTPase-activating protein-binding protein 1			604.75	893.56		381.054		1301.33	407.919	643.984		1065.3		713.142	888.628		711.685	268.651	1042.8	1094.79
Q13308	Q13308	PTK7_HUMAN	PTK7	Inactive tyrosine-protein kinase 7							1049.82							851.866	582.051		120.689	592.929	270.075	
Q13310	Q13310	PABP4_HUMAN	PABPC4	Polyadenylate-binding protein 4	643.772		361.149	721.331		468.859		631.405	613.73	1254.98		561.951		259.186	332.618		437.579	194.918	483.551	648.857
Q13325	Q13325	IFIT5_HUMAN	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5			241.033	292.376		385.549			287.765											
Q13347	Q13347	EIF3I_HUMAN	EIF3I	Eukaryotic translation initiation factor 3 subunit I			582.25	810.209		946.62		905.147	548.241			493.641		389.912	444.086	385.878	577.979		623.731	632.627
Q13363	Q13363;P56545	CTBP1_HUMAN	CTBP1	C-terminal-binding protein 1	176.335		385.942	574.544		305.688			244.117			666.826		391.711	309.896	605.267	319.852		564.511	738.729
Q13404	Q13404	UB2V1_HUMAN	UBE2V1	Ubiquitin-conjugating enzyme E2 variant 1			1029.45	1006.43		1126.2			964.723			759.004			1225.42		543.737		677.369	739.35
Q13405	Q13405	RM49_HUMAN	MRPL49	39S ribosomal protein L49, mitochondrial									246.143				312.033				100.682			
Q13418	Q13418	ILK_HUMAN	ILK	Integrin-linked protein kinase	1124.03		206.96	831.977		292.303			357.577			270.53			307.553	564.865	248.912		193.521	405.933
Q13423	Q13423	NNTM_HUMAN	NNT	NAD(P) transhydrogenase, mitochondrial	1086.51	278.058	346.329	509.046		428.457	776.886	943.717	529.901	397.151		745.491	413.875	587.4	486.936		1124.25	1361.16	366.886	483.94
Q13425	Q13425	SNTB2_HUMAN	SNTB2	Beta-2-syntrophin	293.263		146.956	329.904						265.36		850.382			204.067		260.239		191.427	
Q13427	Q13427	PPIG_HUMAN	PPIG	Peptidyl-prolyl cis-trans isomerase G	392.946		526.393	350.184					333.768	1102.78		337.967		611.433			296.927	134.687		163.715
Q13428	Q13428	TCOF_HUMAN	TCOF1	Treacle protein	267.711		182.148	403.315		344.184	1056.84	1476.85		412.228			621.813	191.314			213.407	206.874	1555.57	427.253
Q13435	Q13435	SF3B2_HUMAN	SF3B2	Splicing factor 3B subunit 2	1205.26		332.461	651.18		651.731	136.328	1302.24	1111.45	595.788		655.105	1322.41	1474.43	683.435		885.496	664.013	757.21	616.214
Q13442	Q13442	HAP28_HUMAN	PDAP1	28 kDa heat- and acid-stable phosphoprotein			418.117	622.926		345.078			567.319						204.477		419.029		611.081	1018.1
Q13445	Q13445	TMED1_HUMAN	TMED1	Transmembrane emp24 domain-containing protein 1			219.859										441.076	349.073			414.305	396.991		
Q13451	Q13451	FKBP5_HUMAN	FKBP5	Peptidyl-prolyl cis-trans isomerase FKBP5			477.887	404.913		812.138			618.04			343.248			376.374		399.907		389.543	357.226
Q13464	Q13464	ROCK1_HUMAN	ROCK1	Rho-associated protein kinase 1			109.09						144.058								242.111		278.24	
Q13492	Q13492	PICAL_HUMAN	PICALM	Phosphatidylinositol-binding clathrin assembly protein	282.827		158.873			256.398			308.088					482.666			225.357	568.712	345.681	
Q13501	Q13501	SQSTM_HUMAN	SQSTM1	Sequestosome-1	680.213		639.126	595.257		536.406	1230.19		530.372	1029.9							565.152		467.074	
Q13505	Q13505	MTX1_HUMAN	MTX1	Metaxin-1	398.062					201.478							291.599				181.309	171.203		
Q13509	Q13509	TBB3_HUMAN	TUBB3	Tubulin beta-3 chain			1362.95	1418		1405.24	433.403		1650.75	171.525		1592.39	244.259		1837.96	405.414	1470.41		1671.01	1423.13
Q13510	Q13510	ASAH1_HUMAN	ASAH1	Acid ceramidase	618.487	447.714	118.902	415.627	571.303	385.224	1024.99	894.285	381.782	211.478		572.176	1061.01	410.928	223.901	531.277	283.339	137.441	312.608	644.02
Q13523	Q13523	PRP4B_HUMAN	PRPF4B	Serine/threonine-protein kinase PRP4 homolog			233.401			448.521				276.716			279.397	187.23			460.857	201.895		247.609
Q13526	Q13526	PIN1_HUMAN	PIN1	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1			138.491	187.142		138.113											168.298			137.132
Q13547;Q92769	Q92769;Q13547	HDAC1_HUMAN;HDAC2_HUMAN	HDAC1;HDAC2	Histone deacetylase 1	590.44		455.602	451.91		712.993			733.359				1077.2	936.116	751.551		708.082	428.042	999.896	533.372
Q13557	Q13554;Q13555;Q13557	KCC2D_HUMAN	CAMK2D	Calcium/calmodulin-dependent protein kinase type II subunit delta	367.501	399.071	612.183	855.965		339.017			678.162			512.822			650.404	723.786	774.55	172.652	435.741	892.728
Q13561	Q13561	DCTN2_HUMAN	DCTN2	Dynactin subunit 2			888.388	670.326		754.591	797.708	1167.81	721.704			1347.03		367.84	1007.61	976.847	732.087	461.867	892.874	736.574
Q13564	Q13564	ULA1_HUMAN	NAE1	NEDD8-activating enzyme E1 regulatory subunit			96.316						194.772								120.896			
Q13573	Q13573	SNW1_HUMAN	SNW1	SNW domain-containing protein 1	545.937		520.187			340.99								282.832			365.396	202.87		471.042
Q13595	Q13595	TRA2A_HUMAN	TRA2A	Transformer-2 protein homolog alpha	1286.87		255.631	521.62		136.37	291.669	818.814	772.081	312.568		386.571	313.449	541.58	227.039		402.379	247.728	337.167	832.584
Q13596	Q13596	SNX1_HUMAN	SNX1	Sorting nexin-1			236.289	359.427		375.38			527.752			1321.36	84.8784			578.471	216.883		309.503	669.063
Q13620	Q13620;Q13619	CUL4B_HUMAN	CUL4B	Cullin-4B			334.471	176.428		502.31			814.818					218.125			673.798		428.235	804.517
Q13630	Q13630	FCL_HUMAN	GFUS	GDP-L-fucose synthase			143.723	469.063													160.397			
Q13636	Q13636;Q9UL26	RAB31_HUMAN	RAB31	Ras-related protein Rab-31	194.162			486.751			552.15	455.805		508.77				611.905			446.706		178.45	
Q13637	Q13637	RAB32_HUMAN	RAB32	Ras-related protein Rab-32	297.972		237.639	319.683		447.795	935.359		203.064				709.588	887.405			327.384	262.656	344.899	228.181
Q13642	Q13642	FHL1_HUMAN	FHL1	Four and a half LIM domains protein 1			157.681	552.486								553.764			95.0151		109.259			154.393
Q13683	Q13683	ITA7_HUMAN	ITGA7	Integrin alpha-7				1686.66																
Q13724	Q13724	MOGS_HUMAN	MOGS	Mannosyl-oligosaccharide glucosidase	913.213		257.228				685.152			276.024				857.681	377.337		390.373	535.848	460.008	
Q13813	Q13813	SPTN1_HUMAN	SPTAN1	Spectrin alpha chain, non-erythrocytic 1	324.95		429.726	1254.5		804.54	986.285	999.867	566.922	151.289		1144.03	1112.93	456.287	563.173	790.435	988.441	589.934	692.75	999.588
Q13835	Q13835	PKP1_HUMAN	PKP1	Plakophilin-1	1082.51	949.561	491.721	843.515	1612.52	687.808	885.462	924.344	893.313	964.251		1200.78	1504.24	841.375	1069.77	1631.32	373.281	471.022	832.605	602.537
Q13838	Q13838	DX39B_HUMAN	DDX39B	Spliceosome RNA helicase DDX39B	1363.33		3315.98	2834.89	597.232	3359.93	1739.05	347.049	3294.81	320.397		3209.84	934.826	511.182	2377.85	525.454	2545.36	460.774	2283.81	4257.78
Q13867	Q13867	BLMH_HUMAN	BLMH	Bleomycin hydrolase	2064.69	2329.52	855.122	1689.09	2974.4	1297.48	3602.77	1963.27	1939.38	2976.2		2378.62	2671.95	1337.33	2099.61	2536.78	882.197	1518.58	1451.69	2077
Q13868	Q13868	EXOS2_HUMAN	EXOSC2	Exosome complex component RRP4				284.599		309.899									466.798					
Q13885	Q9BVA1;Q13885	TBB2A_HUMAN	TUBB2A	Tubulin beta-2A chain	877.249		2680.2	3714.49		3043.93	1276.37	791.618	3705.95	499.2		1340.61	1011.71	493.857	2766.86	1853.8	3741.79	319.843	1908.85	3669.37
Q14008	Q14008	CKAP5_HUMAN	CKAP5	Cytoskeleton-associated protein 5			387.315	114.472		646.162		370.616	561.559						384.424	654.205	342.775		317.82	503.839
Q14011	Q14011	CIRBP_HUMAN	CIRBP	Cold-inducible RNA-binding protein			394.025	114.496		381.962		1022.42	473.65			384.253		841.255	792.43		538.015		616.686	609.266
Q14019	Q14019	COTL1_HUMAN	COTL1	Coactosin-like protein			966.472	1028.01		855.573			1539.27			1054.86		107.99	669.4	297.796	421.116	222.767	737.356	377.596
Q14061	Q14061	COX17_HUMAN	COX17	Cytochrome c oxidase copper chaperone	366.106		385.295														940.855	526.724	419.445	194.394
Q14103	Q14103	HNRPD_HUMAN	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0	1862.51		2111.83	2382.56		2315.79	2867.18	2750.96	2545.89	2362.64		1367.54	2253.37	2714.07	2306.19		2877.8	1500.66	2255	2275.9
Q14108	Q14108	SCRB2_HUMAN	SCARB2	Lysosome membrane protein 2	440.452		436.067	151.534		171.796		503.891	236.742	455.816		387.77		644.032	417.837		278.013	246.711	256.81	
Q14151	Q14151	SAFB2_HUMAN	SAFB2	Scaffold attachment factor B2			278.195			381.301	541.465		191.83	206.563			1000.52	582.559			501.357	303.565		
Q14152	Q14152	EIF3A_HUMAN	EIF3A	Eukaryotic translation initiation factor 3 subunit A			527.802	498.671		445.996	259.702		376.292			634.268			841.666	586.482	490.898		712.138	538.873
Q14157	Q14157	UBP2L_HUMAN	UBAP2L	Ubiquitin-associated protein 2-like			253.365			182.703			242.889					155.772	201.111				363.688	150.005
Q14160	Q14160	SCRIB_HUMAN	SCRIB	Protein scribble homolog			287.945	394.394		733.235		811.046					104.808		607.333		47.5433	2537.49		498.3
Q14165	Q14165	MLEC_HUMAN	MLEC	Malectin	668.032		243.863	600.181				449.451	324.46	742.317		514.706		556.45			381.53	769.009	320.532	384.182
Q14166	Q14166	TTL12_HUMAN	TTLL12	Tubulin--tyrosine ligase-like protein 12			269.177	338.238											463.746					
Q14194	Q14194	DPYL1_HUMAN	CRMP1	Dihydropyrimidinase-related protein 1			340.285						540.616			366.33		212.064	500.418	203.608	1119.48		816.658	887.9
Q14195	Q14195	DPYL3_HUMAN	DPYSL3	Dihydropyrimidinase-related protein 3	307.929		2329.57	2161.49	409.889	1355.68	790.622		2782.79	330.554		2946.7	685.486	350.38	1687.11	1902.7	3572.53	155.01	3225.58	2182.79
Q14197	Q14197	ICT1_HUMAN	MRPL58	Peptidyl-tRNA hydrolase ICT1, mitochondrial																	178.093	300.75		
Q14203	Q14203	DCTN1_HUMAN	DCTN1	Dynactin subunit 1			224.179	233.453		457.07		771.896	156.682	244.329		431.521		1067.22	374.2		193.054		393.097	186.659
Q14204	Q14204	DYHC1_HUMAN	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1	891.93	1013.46	1458.53	1742.24	1940.8	1351.48	339.773	1188.03	1538.47	747.787		1165.42	823.899	591.072	1628.13	1528.97	1178.71	329.265	1479.89	1415.42
Q14232	Q14232	EI2BA_HUMAN	EIF2B1	Translation initiation factor eIF-2B subunit alpha	257.299														256.107				196.767	400.879
Q14247	Q14247	SRC8_HUMAN	CTTN	Src substrate cortactin	289.563		1915.65	1440.28		1588.92		835.692	2072.93	1010.35		1309.73	1122.99	2062.94	2204.24	1055	1761.23	985.72	1679.09	2381.3
Q14254	Q14254	FLOT2_HUMAN	FLOT2	Flotillin-2	805.247		262.213	540.182		480.447	668.491	403.326	465.083	757.322		634.504	789.714	1097.97	678.15		762.74	956.098	402.098	599.192
Q14257	Q14257	RCN2_HUMAN	RCN2	Reticulocalbin-2			385.889			627.32		517.745	486.808	335.549			835.303	166.679	786.929		704.165	472.712	333.924	1153.05
Q14258	Q14258	TRI25_HUMAN	TRIM25	E3 ubiquitin/ISG15 ligase TRIM25	623.615		201.371	225.502		507.961			521.485					331.802	420.393		126.921		209.981	
Q14315	Q14315	FLNC_HUMAN	FLNC	Filamin-C	896.186	720.652	2896.89	2387.13	1125.17	1855.75	812.176	1055.16	2510.11	485.449		1916.46	1497.54	584.122	2678.19	1750.63	1727.33	467.265	1520.97	1616.55
Q14318	Q14318	FKBP8_HUMAN	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8				483.362								1033.72	518.057	479.783			626.588	575.56	604.496	
Q14320;Q9Y247	Q9Y247;Q14320	FA50A_HUMAN;FA50B_HUMAN	FAM50A;FAM50B	Protein FAM50A			187.833	440.669		205.035											185.413			
Q14344	Q14344	GNA13_HUMAN	GNA13	Guanine nucleotide-binding protein subunit alpha-13			62.5852	211.35		147.411				365.269		255.921		199.942				122.234	160.384	164.297
Q14444	Q14444	CAPR1_HUMAN	CAPRIN1	Caprin-1			544.74	298.582				1004.5	636.452			521.454		359.327	940.65		458.166		1016.2	658.22
Q14498	Q14498	RBM39_HUMAN	RBM39	RNA-binding protein 39			291.122	350.314		349.332		491.585		657.086				120.311	665.789		412.255		213.921	
Q14554	Q14554	PDIA5_HUMAN	PDIA5	Protein disulfide-isomerase A5												191.132		467.242			410.599	388.62		
Q14566	Q14566	MCM6_HUMAN	MCM6	DNA replication licensing factor MCM6	327.516		424.765	588.73		418.474			358.972			536.169	713.38		971.088		132.855		757.883	796.378
Q14574	Q14574	DSC3_HUMAN	DSC3	Desmocollin-3	719.094		164.167	464.127	676.495	254.649	474.201		484.987				380.314			504.227	197.958		542.328	
Q14677	Q14677	EPN4_HUMAN	CLINT1	Clathrin interactor 1			417.963														209.992		334.824	115.956
Q14683	Q14683	SMC1A_HUMAN	SMC1A	Structural maintenance of chromosomes protein 1A	645.498		467.777	300.047		410.712		712.771	397.921			206.317	518.22	371.384	574.018		211.621		438.642	
Q14684	Q14684	RRP1B_HUMAN	RRP1B	Ribosomal RNA processing protein 1 homolog B	296.478		172.043	187.008				444.443						525.247			164.912			
Q14690	Q14690	RRP5_HUMAN	PDCD11	Protein RRP5 homolog	638.798		144.962	225.15		444.528				269.04		238.558		430.972	111.627		257.465			373.22
Q14692	Q14692	BMS1_HUMAN	BMS1	Ribosome biogenesis protein BMS1 homolog	980.09		231.593	700.868				461.152		521.178			429.25		219.815		107.854			
Q14694	Q14694	UBP10_HUMAN	USP10	Ubiquitin carboxyl-terminal hydrolase 10	406.224		111.138	209.231		293.312		205.406	156.411			181.397							202.791	
Q14696	Q14696	MESD_HUMAN	MESD	LRP chaperone MESD						431.84		466.126					756.781				488.664	515.419		
Q14697	Q14697	GANAB_HUMAN	GANAB	Neutral alpha-glucosidase AB	4822.92	934.039	3459.55	3707.64	1128.12	3580.54	3171.09	4216.51	3894.23	4653.24		2805.73	5805.99	6337.85	3146.2	3413	5895.28	6468.05	3469.96	4893.39
Q14699	Q14699	RFTN1_HUMAN	RFTN1	Raftlin	335.892		275.748						311.066					252.355			243.22	299.27		
Q14738	Q14738;Q13362	2A5D_HUMAN	PPP2R5D	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform			51.6724																	
Q14739	Q14739	LBR_HUMAN	LBR	Delta(14)-sterol reductase LBR	756.798		414.577	601.214		654.178	999.092	1088.31				981.085	814.022	895.069	1413.43		796.903		405.768	469.621
Q14764	Q14764	MVP_HUMAN	MVP	Major vault protein	3066.05	1026.84	7615.3	7652.04	1660.82	4780.96	3134.37	4171.76	9469.49	2376.32		9653.03	3265.22	3866.21	6527.97	7864.49	9796.97	1342.1	8210.6	5687.14
Q14789	Q14789	GOGB1_HUMAN	GOLGB1	Golgin subfamily B member 1			217.284														323.518	258.729		
Q14839	Q14839;Q8TDI0;Q12873	CHD4_HUMAN	CHD4	Chromodomain-helicase-DNA-binding protein 4	529.355		314.075	705.892		507.12	518.233	641.967	231.784	790.597		776.006	733.543	710.701	598.149		652.06	438.713	176.334	563.486
Q14847	Q14847	LASP1_HUMAN	LASP1	LIM and SH3 domain protein 1	511.844		2389.38	2600.59	240.958	2511.46		222.934	2475.13			1996.53	884.91	280.408	1942.53	1480.86	2266.99	485.029	2734.2	2591.25
Q14914	Q14914	PTGR1_HUMAN	PTGR1	Prostaglandin reductase 1			295.582	722.513		463.731			761.251			313.014		241.843			294.267		463.295	
Q14919	Q14919	NC2A_HUMAN	DRAP1	Dr1-associated corepressor			213.395			396.69													589.219	
Q14974	Q14974	IMB1_HUMAN	KPNB1	Importin subunit beta-1	843.055		1818.54	1598.56	38.1965	2121.13	1385.29	1280.69	1450.12	555.056		1327.33	684.775	970.779	1885.16	2023.03	1328.79	516.905	1929.84	1589.28
Q14978	Q14978	NOLC1_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1	269.046		117.122	704.522		181.481	560.087		308.429	893.305			362.289	399.869	201.385		275.42			546.038
Q14980	Q14980	NUMA1_HUMAN	NUMA1	Nuclear mitotic apparatus protein 1	632.855		348.991	370.834		523.438	588.778	1055.09	958.75	618.512		623.469	945.953	753.17	440.271		861.5	459.149	611.542	701.287
Q15003	Q15003	CND2_HUMAN	NCAPH	Condensin complex subunit 2			467.517			147.496									283.587				350.085	
Q15005	Q15005	SPCS2_HUMAN	SPCS2	Signal peptidase complex subunit 2	1400.41		342.322	796.172		638.911	758.587	798.41	470.743	956.411			757.75	1099.61	686.683		860.745	1003.68	558.661	452.195
Q15006	Q15006	EMC2_HUMAN	EMC2	ER membrane protein complex subunit 2	278.057		115.644	276.022													184.381	197.324		336.872
Q15008	Q15008	PSMD6_HUMAN	PSMD6	26S proteasome non-ATPase regulatory subunit 6			376.435	604.83		368.675		301.235	313.151	333.98							312.15	286.033	308.221	413.175
Q15019	Q15019	SEPT2_HUMAN	SEPTIN2	Septin-2			1067.56	1239.12		982.745		754.197	961.22			854.751	898.206		910.332	547.838	986.337	507.819	979.706	893.798
Q15029	Q15029	U5S1_HUMAN	EFTUD2	116 kDa U5 small nuclear ribonucleoprotein component	2175.52		1375.76	1143.5		1253.06	724.145	1807.28	1414.62	1574.75		1160.18	974.669	1772.39	1123.75		1303.1	947.971	1190.06	1220.12
